y_test1,y_predict_LSTM_GRU
60.16214813,70.06485748291016
36.44661433,69.33787536621094
44.28855177,65.28205871582031
52.95290369,68.38465881347656
93.74033372,75.69698333740234
54.85212343,71.21541595458984
78.73205511,67.82148742675781
78.73205511,73.52657318115234
78.57644087,69.1007308959961
89.90494986,58.977081298828125
63.6649491,73.70796203613281
72.62027968,66.30982208251953
56.18885178,73.46484375
103.3228547,73.20849609375
91.85652704,67.67025756835938
54.49246879,65.48806762695312
61.11052919,66.21810913085938
53.54119063,70.5055923461914
62.00456319999999,67.17084503173828
33.27929799,64.8702163696289
64.36859318,72.1519775390625
67.87849673,70.54310607910156
68.79744324,72.31505584716797
65.90985037,71.30717468261719
82.75327777,26.22457504272461
56.02909753,64.68753814697266
70.07270036,61.48051071166992
88.89255531,70.42192077636719
77.50819277,72.90092468261719
94.94910831,64.55572509765625
56.46038632,66.59026336669922
91.6809313,67.39595031738281
70.7142255,54.05982208251953
73.82455574,67.56694030761719
73.82455574,69.10885620117188
32.68185115,63.483028411865234
70.31269587,70.7665023803711
54.91394346,70.96253204345703
61.58137809,69.42699432373047
59.73043815,73.99454498291016
54.01311185,69.45095825195312
58.65852985,70.72013854980469
75.37640814,68.11864471435547
48.35725675,74.32694244384766
48.35725675,65.07017517089844
41.12138241,69.33717346191406
66.82012406,69.8790283203125
60.05829023,70.15684509277344
47.01288944,64.60710906982422
78.93309631,64.43123626708984
80.60477634,68.94747161865234
69.29225204,66.12786102294922
95.38266214,65.4399185180664
68.47419413,67.74735260009766
55.5289486,63.76187515258789
76.31069468,66.90564727783203
66.03724574,75.78488159179688
87.08391927,87.0982666015625
60.77385711,68.06034088134766
53.30375957,43.87095260620117
82.05440434,71.6103286743164
104.3732501,71.30366516113281
48.35824968,70.656005859375
108.2652268,70.92668914794922
55.50773876,66.90437316894531
66.86450108,65.33555603027344
69.01623971,80.33690643310547
69.01623971,74.13806915283203
49.65855359,72.86883544921875
58.35685104,68.22250366210938
60.43501604,66.30192565917969
74.71867577,67.77359008789062
76.09446944,66.31929016113281
76.09446944,71.32394409179688
75.90307215,64.22893524169922
75.25621195,67.64896392822266
77.87921906,71.46351623535156
51.48535051,66.74423217773438
60.43603209,65.70526885986328
67.64606592,72.62765502929688
65.49992502,70.8658218383789
57.82202269,62.6865119934082
57.82202269,70.62380981445312
46.62929867,70.28034973144531
86.30823645,70.03140258789062
86.30823645,69.1029052734375
46.34586378,62.18663024902344
