y_test1,y_predict_FNN
63.15490498,58.69
76.63118557,59.26
78.32522668,59.12
61.12951712,59.31
82.10099962,59.32
34.53740891,58.41
53.13417014,59.37
60.60660291,59.19
75.33620666,57.64
53.67744855,57.25
84.72310656,59.63
79.16345644,58.57
85.70256386,58.27
66.89074702,58.54
66.89074702,59.12
90.07590858,58.92
74.29377874,59.52
86.95746387,59.11
86.95746387,56.95
57.18158786,58.54
41.70376599,58.53
61.01645543,59.2
59.00434914,57.77
59.00434914,58.01
78.43925129,61.25
45.25371471,58.33
104.6825532,59.23
89.17848451,59.46
56.60867899,59.43
81.50346991,60.12
74.32620443,59.11
53.6315044,59.28
60.53126978,59.37
61.25804566,58.24
69.73623075,58.64
50.7474736,59.49
53.50804292,62.75
57.16455582,58.93
70.7784081,61.13
72.87984778,62.12
78.16013326,59.8
62.85274863,57.61
63.90425571,60.43
77.2939405,62.47
56.34782991,57.52
45.82200411,58.99
45.82200411,57.66
58.52466718,60.03
65.02396013,61.19
71.30902217,58.95
78.7334413,59.9
68.84754399,61.12
75.37574269,58.21
75.02879271,58.61
75.02879271,58.34
61.93377909,59.4
59.95481517,58.24
107.3063431,58.19
111.5954477,59.43
72.27359045,60.54
58.17786718,59.54
72.97405084,60.44
81.57155402,59.36
52.7609607,56.02
77.15217275,58.86
64.36260841,58.39
58.36012491,59.29
60.23707331,57.69
47.94593618,59.6
92.69736884,58.47
36.17900286,60.81
86.52862722,62.4
72.83737021,58.85
72.83737021,57.36
72.91730528,58.74
77.29730019,59.41
43.59230116,61.08
98.36782478,60.64
67.40067335,60.25
69.72391203,57.53
60.34389091,58.82
59.00066632,58.54
79.78046694,59.7
82.78535241,58.57
52.38884926,57.89
97.03045734,58.88
65.0766099,59.49
81.55160971,59.06
50.21401089,64.16
44.7503592,62.44
71.47850077,61.85
66.60889106,59.9
62.15231453,57.15
83.18441419,58.67
43.95331343,59.0
67.59815754,62.29
67.59815754,64.73
82.24409483,59.99
51.6978938,61.05
60.94002778,59.85
46.04628652,59.38
56.43748499,60.62
62.23013405,60.08
43.42019517,60.38
72.63830295,61.7
62.02362962,57.16
70.63764831,64.93
77.66802027,56.58
67.09996943,63.2
70.36836372,58.82
85.7997587,59.64
65.86718937,60.8
71.79912912,60.47
44.6156603,57.25
55.4938816,60.53
67.35476873,59.62
63.94526993,61.25
99.77507789,56.86
101.6153458,59.42
63.10523427,60.91
39.57240683,60.37
108.2139813,61.43
57.949476,60.99
73.40057793,57.33
88.34594023,57.24
77.03048701,59.77
70.60068259,58.46
58.1817074,60.88
57.4013371,62.6
73.60191818,63.01
73.60191818,64.24
80.69356765,60.01
53.95026943,59.03
66.70047596,62.56
57.85250664,58.35
67.42695478,61.83
72.80373391,61.7
65.17992724,57.6
45.66041778,57.98
58.25261283,65.35
114.0349457,61.75
114.0349457,57.62
77.85449934,61.56
75.19948189,61.09
37.76479828,61.22
27.66317378,65.67
98.62545714,65.16
91.70881337,61.01
78.07592324,58.6
52.95663178,60.19
71.78094926,57.19
72.92842077,61.52
102.6958678,60.62
66.66147887,58.73
43.28047646,60.17
81.75785132,61.71
74.12779299,61.33
61.21497949,63.26
66.42188356,61.44
64.13242604,61.71
62.66835618,61.18
64.78395359,57.32
64.03825998,57.31
65.51666804,60.72
50.22994366,59.73
84.22877379,59.11
46.48794951,61.46
68.56879118,61.48
65.19405321,60.26
68.4038331,61.49
51.43989388,58.34
61.24976188,60.2
41.24997685,58.3
85.32995534,58.78
49.15529051,59.22
49.15529051,60.71
75.06770623,59.53
72.01264199,58.49
62.41952929,58.89
59.90994087,58.96
85.42878497,60.79
64.50893407,61.39
84.33505807,63.38
39.36705645,59.19
66.86414033,58.0
72.91157308,58.72
52.86637312,61.72
103.9125476,63.25
57.71314936,59.97
60.07841278,58.88
83.55932648,56.56
44.86035148,59.89
44.93858575,62.46
75.33969428,59.75
50.40116029,60.96
71.59386576,60.59
69.11081537,60.13
45.4280965,58.48
60.59035856,60.48
47.66172717,57.05
72.05986579,60.54
56.03870185,59.74
55.14736366,59.63
62.18868705,59.43
82.36537826,58.08
47.89640649,60.77
62.67775632,59.63
46.31599219,57.31
55.9682167,58.25
63.41017814,61.02
53.59410352,60.83
36.34101183,59.43
62.02230789,59.63
75.40226028,58.62
61.05188925,60.5
61.05188925,60.23
74.77339241,60.82
59.48929351,58.66
35.22120041,61.06
51.53586708,59.76
63.84631932,58.22
62.90620518,61.28
38.43515078,60.41
55.06930393,58.69
28.87860134,60.71
41.55850072,58.51
60.41992108,60.18
66.68769479,60.99
66.68769479,61.74843801365981
69.84540029,62.706626925203025
77.4882131,57.21719263712873
78.69844633,60.893748477188254
