real_cod,predicted_cod
60.16214813,37.46326828
36.44661433,79.2044754
44.28855177,69.2641449
52.95290369,49.41444778
93.74033372,67.49835968
54.85212343,48.73314667
78.73205511,64.3394928
78.73205511,47.578125
78.57644087,74.38045502
89.90494986,56.39475632
63.6649491,61.05498123
72.62027968,39.93197632
56.18885178,62.75846863
103.3228547,60.67876816
91.85652704,49.02891922
54.49246879,65.25195313
61.11052919,55.85301971
53.54119063,69.86987305
62.0045632,63.21531296
33.27929799,56.14806366
64.36859318,62.3978653
67.87849673,49.85691452
68.79744324,62.579422
65.90985037,63.00053024
82.75327777,63.44670868
56.02909753,69.6001358
70.07270036,63.2297554
88.89255531,62.69480896
77.50819277,71.65487671
94.94910831,67.2598114
56.46038632,62.84925079
91.6809313,66.54654694
70.7142255,66.23419952
73.82455574,62.82030106
73.82455574,63.25328064
32.68185115,48.53065491
70.31269587,65.74645996
54.91394346,58.26246262
61.58137809,51.21357346
59.73043815,74.19820404
54.01311185,70.33746338
58.65852985,56.40189743
75.37640814,67.09246826
48.35725675,56.24508286
48.35725675,76.31192017
41.12138241,70.20976257
66.82012406,44.14201736
60.05829023,66.33154297
47.01288944,69.63737488
78.93309631,59.69918823
80.60477634,42.83510971
69.29225204,63.20182419
95.38266214,59.19783401
68.47419413,52.18018723
55.5289486,81.50757599
76.31069468,69.92162323
66.03724574,52.01316833
87.08391927,70.02239227
60.77385711,63.1333313
53.30375957,46.00751877
82.05440434,65.69400024
104.3732501,58.08131027
48.35824968,42.02198029
108.2652268,52.61453247
55.50773876,77.97561646
66.86450108,64.44615173
69.01623971,66.77925873
69.01623971,64.04051971
49.65855359,49.51880264
58.35685104,64.16737366
60.43501604,68.18006897
74.71867577,65.44471741
76.09446944,63.16864014
76.09446944,67.5676651
75.90307215,63.22092438
75.25621195,62.26446533
77.87921906,62.74996185
51.48535051,44.60732269
60.43603209,64.12348175
67.64606592,57.61101913
65.49992502,42.75630188
57.82202269,64.53120422
57.82202269,49.37555695
46.62929867,66.16804504
86.30823645,69.67739105
86.30823645,57.80174255
46.34586378,62.00039291
51.53496489,59.26825714
69.67003777,42.17786407
74.19399492,59.50216293
58.76861279,54.11885071
61.07370993,68.92655182
60.0778524,68.95637512
92.64338257,63.19407272
57.6830675,65.73484039
85.11419625,70.62510681
44.1493478,49.36917877
64.23094246,58.31258774
33.38035359,50.44533157
